X,CH1,
Second,Volt,
-1.6131999e-01,8.80000e-03,
-1.6129999e-01,8.80000e-03,
-1.6127999e-01,8.00000e-03,
-1.6125999e-01,8.00000e-03,
-1.6124000e-01,8.00000e-03,
-1.6121998e-01,8.00000e-03,
-1.6119999e-01,8.80000e-03,
-1.6117999e-01,8.00000e-03,
-1.6115999e-01,8.80000e-03,
-1.6113999e-01,8.80000e-03,
-1.6112000e-01,8.80000e-03,
-1.6109999e-01,8.80000e-03,
-1.6107999e-01,8.80000e-03,
-1.6105999e-01,8.80000e-03,
-1.6103999e-01,8.80000e-03,
-1.6102000e-01,8.80000e-03,
-1.6099998e-01,8.00000e-03,
-1.6097999e-01,8.00000e-03,
-1.6095999e-01,8.00000e-03,
-1.6093999e-01,8.00000e-03,
-1.6091999e-01,8.00000e-03,
-1.6090000e-01,8.00000e-03,
-1.6087998e-01,8.80000e-03,
-1.6085999e-01,8.00000e-03,
-1.6083999e-01,8.00000e-03,
-1.6081999e-01,8.80000e-03,
-1.6080000e-01,8.80000e-03,
-1.6078000e-01,8.80000e-03,
-1.6075999e-01,8.80000e-03,
-1.6073999e-01,8.80000e-03,
-1.6071999e-01,8.00000e-03,
-1.6069999e-01,7.20000e-03,
-1.6068000e-01,7.20000e-03,
-1.6065998e-01,8.00000e-03,
-1.6063999e-01,8.00000e-03,
-1.6061999e-01,8.00000e-03,
-1.6059999e-01,8.00000e-03,
-1.6057999e-01,8.80000e-03,
-1.6056000e-01,8.80000e-03,
-1.6053998e-01,9.60000e-03,
-1.6051999e-01,9.60000e-03,
-1.6049999e-01,8.80000e-03,
-1.6047999e-01,8.80000e-03,
-1.6046000e-01,8.80000e-03,
-1.6044000e-01,8.00000e-03,
-1.6041999e-01,8.00000e-03,
-1.6039999e-01,8.00000e-03,
-1.6037999e-01,8.00000e-03,
-1.6035999e-01,8.00000e-03,
-1.6034000e-01,8.80000e-03,
-1.6031998e-01,8.80000e-03,
-1.6029999e-01,8.00000e-03,
-1.6027999e-01,8.80000e-03,
-1.6025999e-01,8.00000e-03,
-1.6023999e-01,8.80000e-03,
-1.6022000e-01,8.80000e-03,
-1.6019998e-01,8.80000e-03,
-1.6017999e-01,8.00000e-03,
-1.6015999e-01,8.00000e-03,
-1.6013999e-01,7.20000e-03,
-1.6012000e-01,8.00000e-03,
-1.6010000e-01,7.20000e-03,
-1.6007999e-01,8.00000e-03,
-1.6005999e-01,8.00000e-03,
-1.6003999e-01,8.00000e-03,
-1.6001999e-01,8.00000e-03,
-1.6000000e-01,8.00000e-03,
-1.5997998e-01,8.00000e-03,
-1.5995999e-01,8.80000e-03,
-1.5993999e-01,8.80000e-03,
-1.5991999e-01,8.00000e-03,
-1.5989999e-01,8.80000e-03,
-1.5988000e-01,8.80000e-03,
-1.5985999e-01,8.80000e-03,
-1.5983999e-01,8.80000e-03,
-1.5981999e-01,8.80000e-03,
-1.5979999e-01,8.80000e-03,
-1.5978000e-01,8.00000e-03,
-1.5975998e-01,8.00000e-03,
-1.5973999e-01,8.00000e-03,
-1.5971999e-01,8.00000e-03,
-1.5969999e-01,8.00000e-03,
-1.5967999e-01,8.00000e-03,
-1.5966000e-01,7.20000e-03,
-1.5963998e-01,8.00000e-03,
-1.5961999e-01,7.20000e-03,
-1.5959999e-01,8.00000e-03,
